Feature,Model,Accuracy,F1 Macro,F1 Weighted,Train Time (s)
TF-IDF Bigram (C=0.5),svm,0.8631,0.8631,0.8631,0.58
TF-IDF Bigram,svm,0.8598,0.8599,0.8599,0.75
TF-IDF Bigram (C=5.0),logistic_regression,0.8595,0.8597,0.8597,2.23
TF-IDF Unigram,logistic_regression,0.8588,0.859,0.859,0.74
TF-IDF Bigram,logistic_regression,0.857,0.8573,0.8573,1.22
TF-IDF Unigram,svm,0.8441,0.844,0.844,0.78
TF-IDF Bigram,complement_nb,0.838,0.8373,0.8374,0.02
BoW,logistic_regression,0.8298,0.8305,0.8305,39.55
TF-IDF Unigram,random_forest,0.8291,0.8294,0.8294,4.16
TF-IDF Bigram,random_forest,0.827,0.827,0.827,7.7
BERT (MiniLM),svm,0.8245,0.8241,0.8241,3.83
Word2Vec,svm,0.8216,0.8216,0.8216,4.71
BoW,random_forest,0.8216,0.8212,0.8212,5.14
Word2Vec,logistic_regression,0.8205,0.8206,0.8206,26.4
BERT (MiniLM),logistic_regression,0.818,0.8179,0.818,4.77
TF-IDF Unigram,complement_nb,0.8091,0.8069,0.8069,0.01
BoW,complement_nb,0.8041,0.8009,0.801,0.01
TF-IDF Unigram,multinomial_nb,0.7926,0.7914,0.7914,0.01
BoW,svm,0.7891,0.7894,0.7894,49.36
BoW,multinomial_nb,0.7855,0.7846,0.7847,0.01
